"ID Renabap","Nombre del barrio","Cantidad de familias que viven en el barrio","Año de creación del barrio","Década de creación del barrio","Tipología barrial","Situación dominial","Situación predominante sobre la conexión a la energía eléctrica ","Situación predominante sobre la conexión a la red cloacal","Situación predominante sobre la conexión a la red de agua","Situación predominante sobre la conexión a la red de gas","wkt","Código de provincia","Nombre de provincia","Código de departamento","Nombre de departamento","Código de radio","Nombre de radio","Superficie en km2","Latitud del centroide","Longitud del centroide","Geometría en WKT"
1232,"El Primaveral",707,0,"Década 1980","Asentamiento","NO","Conexión irregular a la red","Desagüe a cámara séptica y pozo ciego","Conexión formal a la red de agua con factura","Gas en garrafa","MULTIPOLYGON(((-58.716666708702 -34.464367666435, -58.717420497958 -34.464676897421, -58.717911243 -34.464072584, -58.717857946187 -34.463967299951, -58.717246056 -34.463639142, -58.717447718637 -34.463375626084, -58.717663364373 -34.46314743031, -58.717819535 -34.463224996, -58.717629738 -34.463467099, -58.718337744 -34.463846164, -58.71757220909 -34.464772302, -58.717534051755 -34.464878804213, -58.717918295193 -34.465060506837, -58.717025421 -34.466162375, -58.717952613322 -34.466722529521, -58.71776104 -34.466991622, -58.717431940032 -34.467397038143, -58.716477372633 -34.466888198132, -58.71558634953 -34.466389067202, -58.716225703653 -34.465588335134, -58.716195402796 -34.465479650266, -58.714880481549 -34.464751522265, -58.713956840935 -34.46428483168, -58.714682628001 -34.463373653871, -58.71533936512 -34.463680674324, -58.716557042673 -34.46434183161, -58.716666708702 -34.464367666435)), ((-58.727333857513 -34.464456183839, -58.72682897277 -34.465166600643, -58.72818216648 -34.465850794515, -58.726714057802 -34.467801527791, -58.725628478202 -34.469157314282, -58.723728136798 -34.468141281162, -58.723241762771 -34.468837287554, -58.721145193781 -34.467805540909, -58.720860700831 -34.468220428483, -58.720004501227 -34.467759626897, -58.722391279031 -34.464586392458, -58.723225867754 -34.465049011526, -58.724050199971 -34.464206197647, -58.724819198466 -34.464624969347, -58.725706327812 -34.463601515989, -58.727333857513 -34.464456183839)))","06","Buenos Aires","06515","Malvinas Argentinas","065150107","",0.32715183939118,-34.466202,-58.722611,"MULTIPOLYGON(((-58.716666 -34.464367,-58.717420 -34.464676,-58.717911 -34.464072,-58.717857 -34.463967,-58.717246 -34.463639,-58.717447 -34.463375,-58.717663 -34.463147,-58.717819 -34.463224,-58.717629 -34.463467,-58.718337 -34.463846,-58.717572 -34.464772,-58.717534 -34.464878,-58.717918 -34.465060,-58.717025 -34.466162,-58.717952 -34.466722,-58.717761 -34.466991,-58.717431 -34.467397,-58.716477 -34.466888,-58.715586 -34.466389,-58.716225 -34.465588,-58.716195 -34.465479,-58.714880 -34.464751,-58.713956 -34.464284,-58.714682 -34.463373,-58.715339 -34.463680,-58.716557 -34.464341,-58.716666 -34.464367)),((-58.727333 -34.464456,-58.726828 -34.465166,-58.728182 -34.465850,-58.726714 -34.467801,-58.725628 -34.469157,-58.723728 -34.468141,-58.723241 -34.468837,-58.721145 -34.467805,-58.720860 -34.468220,-58.720004 -34.467759,-58.722391 -34.464586,-58.723225 -34.465049,-58.724050 -34.464206,-58.724819 -34.464624,-58.725706 -34.463601,-58.727333 -34.464456)))"
1072,"Bella Flor",154,0,"Década 1960","Villa","NO","Conexión irregular a la red","Desagüe a cámara séptica y pozo ciego","Bomba de agua de pozo domiciliaria","Gas en garrafa","POLYGON((-58.708890215123 -34.478088815373, -58.708109753836 -34.47904272349, -58.708035842136 -34.479152823899, -58.707227834015 -34.480142144593, -58.706518646041 -34.479674946634, -58.706811259525 -34.479336865831, -58.706856453213 -34.479360858858, -58.707337081568 -34.478765266539, -58.707336486225 -34.478619888406, -58.70761285147 -34.478265474625, -58.707695202416 -34.478302655261, -58.708188787165 -34.477705453306, -58.708890215123 -34.478088815373))","06","Buenos Aires","06515","Malvinas Argentinas","065150212","",0.02160458312231,-34.478909,-58.707704,"POLYGON((-58.708890 -34.478088,-58.708109 -34.479042,-58.708035 -34.479152,-58.707227 -34.480142,-58.706518 -34.479674,-58.706811 -34.479336,-58.706856 -34.479360,-58.707337 -34.478765,-58.707336 -34.478619,-58.707612 -34.478265,-58.707695 -34.478302,-58.708188 -34.477705,-58.708890 -34.478088))"
222,"La Hoya",154,0,"Década 1970","Villa","NO","Conexión a la red con medidor comunitario","Desagüe sólo a pozo negro/ciego u hoyo","Bomba de agua de pozo comunitaria","Gas en garrafa","POLYGON((-58.687686991503 -34.479122924691, -58.688318680331 -34.479435770346, -58.688890131425 -34.479772492148, -58.688587623727 -34.480175260898, -58.688314251762 -34.480496518224, -58.68783436121 -34.48109134753, -58.6877701614 -34.48113343472, -58.686643639941 -34.480522976135, -58.686696346987 -34.480402848952, -58.687510501415 -34.479347739871, -58.687686991503 -34.479122924691))","06","Buenos Aires","06515","Malvinas Argentinas","065150406","",0.02408276380144,-34.480129,-58.687756,"POLYGON((-58.687686 -34.479122,-58.688318 -34.479435,-58.688890 -34.479772,-58.688587 -34.480175,-58.688314 -34.480496,-58.687834 -34.481091,-58.687770 -34.481133,-58.686643 -34.480522,-58.686696 -34.480402,-58.687510 -34.479347,-58.687686 -34.479122))"
823,"Olivos II",13,0,"Década 1990","Asentamiento","NO","Conexión formal a la red con medidor domiciliario con factura","Desagüe a cámara séptica y pozo ciego","Bomba de agua de pozo domiciliaria","Gas en garrafa","POLYGON((-58.694496155773 -34.477920525212, -58.694773938367 -34.478078113414, -58.694442736943 -34.478521497169, -58.694317200578 -34.478492116318, -58.694456090976 -34.478310489238, -58.694269122822 -34.478217004711, -58.694496155773 -34.477920525212))","06","Buenos Aires","06515","Malvinas Argentinas","065150410","",0.00143785940608,-34.478193,-58.694509,"POLYGON((-58.694496 -34.477920,-58.694773 -34.478078,-58.694442 -34.478521,-58.694317 -34.478492,-58.694456 -34.478310,-58.694269 -34.478217,-58.694496 -34.477920))"
633,"Los Olivos",880,0,"Década 1980","Asentamiento","NO","Conexión formal a la red con medidor domiciliario con factura","Desagüe a cámara séptica y pozo ciego","Bomba de agua de pozo domiciliaria","Gas en garrafa","POLYGON((-58.696016610511 -34.480964841825, -58.695938079974 -34.480977143629, -58.69504901 -34.480477930238, -58.694354451485 -34.480089057786, -58.694313922561 -34.480014151788, -58.694626473313 -34.479612947252, -58.694790413485 -34.479433373165, -58.695519607583 -34.478494527438, -58.6956519307 -34.478380178844, -58.695943449659 -34.478002212682, -58.696205949413 -34.477730989084, -58.696032114636 -34.477353454025, -58.696219374345 -34.477123886016, -58.696612926493 -34.477338094197, -58.696676222701 -34.47726253315, -58.696923773849 -34.477258519914, -58.696927097068 -34.476905876264, -58.697120419504 -34.476704955273, -58.69772254675 -34.47681243441, -58.697890524987 -34.476613730181, -58.697973332697 -34.476607474655, -58.69824861022 -34.47674905824, -58.698284848973 -34.476801908077, -58.698216135829 -34.47712146164, -58.698163378319 -34.477284706281, -58.698474057222 -34.477473132828, -58.698317327829 -34.477741713599, -58.698429222489 -34.477820686693, -58.698199602686 -34.478109350755, -58.697927008269 -34.477958373847, -58.698222195091 -34.477568121331, -58.697926627992 -34.477428535376, -58.697636542121 -34.477899227327, -58.698192169802 -34.478203071104, -58.698228721511 -34.478262149093, -58.697819606439 -34.478737647555, -58.697680123394 -34.478919373861, -58.696790122357 -34.479993684867, -58.696315701967 -34.480578053981, -58.696016610511 -34.480964841825))","06","Buenos Aires","06515","Malvinas Argentinas","065150411","",0.08565604033772,-34.478794,-58.696491,"POLYGON((-58.696016 -34.480964,-58.695938 -34.480977,-58.695049 -34.480477,-58.694354 -34.480089,-58.694313 -34.480014,-58.694626 -34.479612,-58.694790 -34.479433,-58.695519 -34.478494,-58.695651 -34.478380,-58.695943 -34.478002,-58.696205 -34.477730,-58.696032 -34.477353,-58.696219 -34.477123,-58.696612 -34.477338,-58.696676 -34.477262,-58.696923 -34.477258,-58.696927 -34.476905,-58.697120 -34.476704,-58.697722 -34.476812,-58.697890 -34.476613,-58.697973 -34.476607,-58.698248 -34.476749,-58.698284 -34.476801,-58.698216 -34.477121,-58.698163 -34.477284,-58.698474 -34.477473,-58.698317 -34.477741,-58.698429 -34.477820,-58.698199 -34.478109,-58.697927 -34.477958,-58.698222 -34.477568,-58.697926 -34.477428,-58.697636 -34.477899,-58.698192 -34.478203,-58.698228 -34.478262,-58.697819 -34.478737,-58.697680 -34.478919,-58.696790 -34.479993,-58.696315 -34.480578,-58.696016 -34.480964))"
225,"Alvear",132,0,"Década 1970","Villa","NO","Conexión irregular a la red","Desagüe sólo a pozo negro/ciego u hoyo","Bomba de agua de pozo domiciliaria","Gas en garrafa","POLYGON((-58.672102566485 -34.483732513598, -58.67129410072 -34.484751733259, -58.66992333665 -34.483689326324, -58.670615484691 -34.482898135468, -58.672102566485 -34.483732513598))","06","Buenos Aires","06515","Malvinas Argentinas","065150701","",0.02043504334298,-34.483788,-58.671008,"POLYGON((-58.672102 -34.483732,-58.671294 -34.484751,-58.669923 -34.483689,-58.670615 -34.482898,-58.672102 -34.483732))"
1302,"Teniente General Ibañez",44,0,"Década 2000","Villa","NO","Conexión irregular a la red","Desagüe sólo a pozo negro/ciego u hoyo","Bomba de agua de pozo domiciliaria","Gas en garrafa","MULTIPOLYGON(((-58.653935429606 -34.497317314873, -58.653799119094 -34.497489436949, -58.653984477912 -34.497670261949, -58.65384343667 -34.497695108064, -58.653832516 -34.497889566, -58.653988838 -34.498068619, -58.654143652 -34.498252093, -58.653998813 -34.498371461, -58.653846681 -34.49823883, -58.65370963094 -34.498094105886, -58.653638653276 -34.498147199994, -58.653485443503 -34.498028407792, -58.653528163833 -34.497974560587, -58.653286099 -34.497843145, -58.653581742315 -34.49759430851, -58.653374417379 -34.497447511901, -58.653294197261 -34.497298492423, -58.653618863039 -34.497052466651, -58.653935429606 -34.497317314873)), ((-58.653054675 -34.497219771, -58.652893743 -34.497345773, -58.65263625 -34.497137981, -58.652797183 -34.4970164, -58.653054675 -34.497219771)))","06","Buenos Aires","06515","Malvinas Argentinas","065150801","",0.00577244829996,-34.497626,-58.653587,"MULTIPOLYGON(((-58.653935 -34.497317,-58.653799 -34.497489,-58.653984 -34.497670,-58.653843 -34.497695,-58.653832 -34.497889,-58.653988 -34.498068,-58.654143 -34.498252,-58.653998 -34.498371,-58.653846 -34.498238,-58.653709 -34.498094,-58.653638 -34.498147,-58.653485 -34.498028,-58.653528 -34.497974,-58.653286 -34.497843,-58.653581 -34.497594,-58.653374 -34.497447,-58.653294 -34.497298,-58.653618 -34.497052,-58.653935 -34.497317)),((-58.653054 -34.497219,-58.652893 -34.497345,-58.652636 -34.497137,-58.652797 -34.497016,-58.653054 -34.497219)))"
205,"La Canchita",97,0,"Década 1980","Asentamiento","NO","Conexión irregular a la red","Desagüe sólo a pozo negro/ciego u hoyo","Bomba de agua de pozo comunitaria","Gas en garrafa","POLYGON((-58.662330416 -34.502462522, -58.662202843 -34.5025628, -58.661931176585 -34.502772507321, -58.660743937705 -34.502764741473, -58.660126929062 -34.50225002, -58.660103783955 -34.502184018308, -58.660732462616 -34.501625654402, -58.661000972107 -34.501831900647, -58.661117504601 -34.501881321506, -58.661236167 -34.501883906, -58.661574125 -34.501609813, -58.661736143 -34.501734919, -58.661815524 -34.501866223, -58.662142754 -34.502122632, -58.662153482 -34.502118211, -58.662035465 -34.502224312, -58.662319779 -34.502467457, -58.662330416 -34.502462522))","06","Buenos Aires","06515","Malvinas Argentinas","065150806","",0.01745071663354,-34.502264,-58.661219,"POLYGON((-58.662330 -34.502462,-58.662202 -34.502562,-58.661931 -34.502772,-58.660743 -34.502764,-58.660126 -34.502250,-58.660103 -34.502184,-58.660732 -34.501625,-58.661000 -34.501831,-58.661117 -34.501881,-58.661236 -34.501883,-58.661574 -34.501609,-58.661736 -34.501734,-58.661815 -34.501866,-58.662142 -34.502122,-58.662153 -34.502118,-58.662035 -34.502224,-58.662319 -34.502467,-58.662330 -34.502462))"
243,"Kilómetro 30",84,0,"Década 1980","Villa","NO","Conexión irregular a la red","Desagüe sólo a pozo negro/ciego u hoyo","Bomba de agua de pozo comunitaria","Gas en garrafa","POLYGON((-58.6611809651 -34.504250873998, -58.661777828069 -34.504668061165, -58.661161638364 -34.505342419438, -58.660873469865 -34.505158948933, -58.660922243965 -34.505117527701, -58.660626246109 -34.504884100879, -58.6611809651 -34.504250873998))","06","Buenos Aires","06515","Malvinas Argentinas","065150811","",0.00643461462178,-34.504792,-58.661191,"POLYGON((-58.661180 -34.504250,-58.661777 -34.504668,-58.661161 -34.505342,-58.660873 -34.505158,-58.660922 -34.505117,-58.660626 -34.504884,-58.661180 -34.504250))"
1067,"San Calal",39,0,"Década 1960","Villa","NO","Conexión irregular a la red","Desagüe sólo a pozo negro/ciego u hoyo","Bomba de agua de pozo comunitaria","Leña o carbón","POLYGON((-58.659222662 -34.507055443, -58.6589698 -34.507307445, -58.658885426 -34.507383174, -58.658244397761 -34.506945199961, -58.65842689 -34.506773321, -58.658438912 -34.506756958, -58.659166212 -34.507017687, -58.659222662 -34.507055443))","06","Buenos Aires","06515","Malvinas Argentinas","065150814","",0.00294110767977,-34.50705,-58.658736,"POLYGON((-58.659222 -34.507055,-58.658969 -34.507307,-58.658885 -34.507383,-58.658244 -34.506945,-58.658426 -34.506773,-58.658438 -34.506756,-58.659166 -34.507017,-58.659222 -34.507055))"
1137,"Arroyo Basualdo",252,0,"Década 1970","Villa","NO","Conexión irregular a la red","Desagüe sólo a pozo negro/ciego u hoyo","Bomba de agua de pozo domiciliaria","Gas en garrafa","POLYGON((-58.665710586701 -34.507300775049, -58.665736148548 -34.508196620704, -58.665643597304 -34.508286198559, -58.665385858371 -34.508099323325, -58.665412079904 -34.508000993251, -58.664955767495 -34.507439087844, -58.665075179002 -34.507352061156, -58.664940744982 -34.507101160419, -58.664914207125 -34.506910953777, -58.664944381178 -34.506782714051, -58.664831228478 -34.506771398781, -58.664801955546 -34.506614058792, -58.664171170163 -34.50611888308, -58.664058266211 -34.506208291409, -58.663613015828 -34.50584932029, -58.663473393382 -34.5059604693, -58.663494101807 -34.505976847663, -58.663353778776 -34.506101853951, -58.662407769274 -34.505462485838, -58.662224940129 -34.505624782957, -58.662121607593 -34.505580667316, -58.661405616265 -34.505123488994, -58.662405011498 -34.504145665869, -58.665675937985 -34.506799700319, -58.665564973 -34.506894234, -58.665796174644 -34.507201986641, -58.665710586701 -34.507300775049))","06","Buenos Aires","06515","Malvinas Argentinas","065150903","",0.04152697088663,-34.505837,-58.663664,"POLYGON((-58.665710 -34.507300,-58.665736 -34.508196,-58.665643 -34.508286,-58.665385 -34.508099,-58.665412 -34.508000,-58.664955 -34.507439,-58.665075 -34.507352,-58.664940 -34.507101,-58.664914 -34.506910,-58.664944 -34.506782,-58.664831 -34.506771,-58.664801 -34.506614,-58.664171 -34.506118,-58.664058 -34.506208,-58.663613 -34.505849,-58.663473 -34.505960,-58.663494 -34.505976,-58.663353 -34.506101,-58.662407 -34.505462,-58.662224 -34.505624,-58.662121 -34.505580,-58.661405 -34.505123,-58.662405 -34.504145,-58.665675 -34.506799,-58.665564 -34.506894,-58.665796 -34.507201,-58.665710 -34.507300))"
1064,"Guadalupe",118,0,"Década 1970","Villa","NO","Conexión irregular a la red","Desagüe sólo a pozo negro/ciego u hoyo","Bomba de agua de pozo domiciliaria","Gas en garrafa","POLYGON((-58.666546799481 -34.508544068396, -58.666524143737 -34.508572192769, -58.666421411653 -34.508509303547, -58.666435083223 -34.508487819651, -58.666297586289 -34.508400712218, -58.666326491894 -34.508363994287, -58.666230400287 -34.508314776635, -58.666188994961 -34.508369462915, -58.665974937234 -34.508276496238, -58.66580697223 -34.508233919063, -58.665756582729 -34.50819954483, -58.665722208495 -34.507440186764, -58.665719083565 -34.50730581476, -58.666015170712 -34.507072226219, -58.66747959118 -34.508262824668, -58.666863979908 -34.508787812961, -58.666636641228 -34.50860578577, -58.666546799481 -34.508544068396))","06","Buenos Aires","06515","Malvinas Argentinas","065150904","",0.01562369054602,-34.507969,-58.666454,"POLYGON((-58.666546 -34.508544,-58.666524 -34.508572,-58.666421 -34.508509,-58.666435 -34.508487,-58.666297 -34.508400,-58.666326 -34.508363,-58.666230 -34.508314,-58.666188 -34.508369,-58.665974 -34.508276,-58.665806 -34.508233,-58.665756 -34.508199,-58.665722 -34.507440,-58.665719 -34.507305,-58.666015 -34.507072,-58.667479 -34.508262,-58.666863 -34.508787,-58.666636 -34.508605,-58.666546 -34.508544))"
1071,"San Antonio",36,0,"Década 1970","Villa","NO","Conexión formal a la red con medidor domiciliario con factura","Desagüe a cámara séptica y pozo ciego","Bomba de agua de pozo domiciliaria","Gas en garrafa","POLYGON((-58.715756248843 -34.493456481677, -58.716461675947 -34.493818935495, -58.71610247196 -34.494306404071, -58.715418149855 -34.493927711222, -58.715756248843 -34.493456481677))","06","Buenos Aires","06515","Malvinas Argentinas","065151203","",0.00471096282534,-34.493878,-58.715937,"POLYGON((-58.715756 -34.493456,-58.716461 -34.493818,-58.716102 -34.494306,-58.715418 -34.493927,-58.715756 -34.493456))"
257,"Santa Elena",121,0,"Década 1980","Villa","NO","Conexión irregular a la red","Desagüe a cámara séptica y pozo ciego","Conexión formal a la red de agua con factura","Gas en garrafa","POLYGON((-58.744344037298 -34.477872850862, -58.743351387548 -34.479158945279, -58.741588346677 -34.478173414133, -58.742237 -34.477871, -58.74334901468 -34.477374548597, -58.743535 -34.477535, -58.743595792944 -34.477627654509, -58.743840645823 -34.477766710826, -58.744008671964 -34.47779059144, -58.744186637058 -34.477785054748, -58.744344037298 -34.477872850862))","06","Buenos Aires","06515","Malvinas Argentinas","065151401","",0.02440651997828,-34.478215,-58.743072,"POLYGON((-58.744344 -34.477872,-58.743351 -34.479158,-58.741588 -34.478173,-58.742237 -34.477871,-58.743349 -34.477374,-58.743535 -34.477535,-58.743595 -34.477627,-58.743840 -34.477766,-58.744008 -34.477790,-58.744186 -34.477785,-58.744344 -34.477872))"
